PHI	114.7	24
MIN	111.3	28
PIT	109.6	30
DEN	106.7	28
ATL	106.6	24
NE	105.4	27
GB	105.0	25
BUF	104.9	26
DAL	104.7	22
ARI	103.0	25
OAK	101.2	17
DET	100.7	18
CAR	99.9	24
NYG	99.8	15
SEA	99.7	29
SD	99.3	18
WAS	99.2	18
BAL	98.9	18
TEN	98.7	12
NO	97.7	14
CIN	97.7	25
KC	97.5	25
HOU	97.1	19
IND	96.7	14
CHI	94.6	13
SF	94.5	15
LA	94.1	18
JAC	93.2	11
NYJ	93.1	21
TB	92.5	15
MIA	92.0	15
CLE	89.8	12
