12	SEA	@TB	1	-7.5
12	SF	@MIA	1	1.5
12	TEN	@CHI	1	1.0
13	BUF	@OAK	1	-3.0
13	CAR	@SEA	1	5.0
13	DEN	@JAC	1	-12.0
13	DET	@NO	1	-0.5
13	HOU	@GB	1	9.5
13	IND	@NYJ	1	4.5
13	KC	@ATL	1	7.0
13	LA	@NE	1	13.0
13	MIA	@BAL	1	7.5
13	NYG	@PIT	1	15.0
13	PHI	@CIN	1	-4.5
13	SF	@CHI	1	2.0
13	TB	@SD	1	7.5
13	WAS	@ARI	1	8.0
14	ARI	@MIA	1	-7.5
14	ATL	@LA	1	-6.0
14	BAL	@NE	1	10.5
14	CHI	@DET	1	8.5
14	CIN	@CLE	1	-7.0
14	DAL	@NYG	1	-2.5
14	DEN	@TEN	1	-8.5
14	HOU	@IND	1	-0.0
14	MIN	@JAC	1	-14.5
14	NO	@TB	1	0.5
14	NYJ	@SF	1	0.5
14	PIT	@BUF	1	-1.0
14	SD	@CAR	1	6.0
14	SEA	@GB	1	3.5
14	WAS	@PHI	1	13.5
15	CAR	@WAS	1	-0.0
15	CLE	@BUF	1	17.5
15	DET	@NYG	1	1.0
15	GB	@CHI	1	-8.0
15	IND	@MIN	1	17.0
15	JAC	@HOU	1	8.5
15	MIA	@NYJ	1	6.5
15	NE	@DEN	1	4.0
15	NO	@ARI	1	11.0
15	OAK	@SD	1	2.5
15	PHI	@BAL	1	-7.5
15	PIT	@CIN	1	-5.0
15	SF	@ATL	1	13.5
15	TB	@DAL	1	12.5
15	TEN	@KC	1	8.5
16	ARI	@SEA	1	3.0
16	ATL	@CAR	1	-0.0
16	BAL	@PIT	1	14.0
16	CIN	@HOU	1	-0.0
16	DEN	@KC	1	-3.0
16	DET	@DAL	1	7.0
16	IND	@OAK	1	6.5
16	MIA	@BUF	1	14.5
16	MIN	@GB	1	-1.5
16	NYJ	@NE	1	12.0
16	SD	@CLE	1	-4.5
16	SF	@LA	1	4.0
16	TB	@NO	1	5.0
16	TEN	@JAC	1	-0.0
16	WAS	@CHI	1	-1.5
17	ARI	@LA	1	-4.5
17	BAL	@CIN	1	5.5
17	BUF	@NYJ	1	-5.0
17	CAR	@TB	1	-5.0
17	CHI	@MIN	1	18.5
17	CLE	@PIT	1	21.5
17	DAL	@PHI	1	9.0
17	GB	@DET	1	-2.5
17	HOU	@TEN	1	-0.0
17	JAC	@IND	1	6.0
17	KC	@SD	1	-0.0
17	NE	@MIA	1	-9.5
17	NO	@ATL	1	12.0
17	NYG	@WAS	1	4.0
17	OAK	@DEN	1	11.0
17	SEA	@SF	1	-6.5
